channel_nmse,channel_nmse_db,experiment,ls_cond_a_max,ls_cond_a_mean,ls_cond_a_median,ls_cond_a_nonfinite_count,ls_cond_a_p95,ls_cond_gram_max,ls_cond_gram_mean,ls_cond_gram_median,ls_cond_gram_nonfinite_count,ls_cond_gram_p95,ls_log10_cond_a_max_channel_nmse_db_corr,ls_log10_cond_a_max_observed_nmse_db_corr,ls_log10_cond_a_mean_channel_nmse_db_corr,ls_log10_cond_gram_max_channel_nmse_db_corr,ls_mode,ls_rank_deficient_count,ls_rank_mean,ls_rank_min,observed_symbol_nmse,observed_symbol_nmse_db,oracle_keys,variant,weights_max,weights_mean,weights_min,weights_source
9.512926e-05,-4.056141e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,9.512926e-05,-4.056141e+01,,model_all,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
4.381204e-05,-4.369427e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,4.381204e-05,-4.369427e+01,total_delay_s,oracle_total_delay,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
8.541910e-05,-4.104122e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,8.541910e-05,-4.104122e+01,rx_time_offsets_s,oracle_rx_offsets,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
6.805546e-05,-4.188828e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,6.805546e-05,-4.188828e+01,rel_delay_s,oracle_rel_delay,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
1.192280e-02,-3.340046e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,1.192280e-02,-3.340046e+01,cfo_hz,oracle_cfo,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
9.616516e-05,-4.055184e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,9.616516e-05,-4.055184e+01,doppler_hz,oracle_doppler,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
3.520246e-05,-4.463732e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,3.520246e-05,-4.463733e+01,"total_delay_s,cfo_hz,rx_time_offsets_s",oracle_shared_phase,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
8.871875e-05,-4.105573e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,8.871875e-05,-4.105573e+01,"rel_delay_s,doppler_hz",oracle_path_phase,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
4.647700e-06,-5.334219e+01,replace_one_parameter,,,,,,,,,,,,,,,learnable_weighted_ls,,,,4.647700e-06,-5.334219e+01,"total_delay_s,cfo_hz,rel_delay_s,doppler_hz,rx_time_offsets_s",oracle_all_physical_keep_model_uncertainty,1.653714e+00,1.005521e+00,5.000000e-01,uncertainty
1.752024e-10,-9.754948e+01,replace_one_parameter,1.842609e+08,1.453215e+08,1.433151e+08,0.000000e+00,1.693104e+08,1.688440e+10,1.031098e+09,5.288978e+08,0.000000e+00,2.617157e+09,2.078179e-02,2.078179e-02,-8.670610e-03,3.109996e-02,traditional_ls,6.400000e+01,1.200000e+01,1.200000e+01,1.752024e-10,-9.754948e+01,"total_delay_s,cfo_hz,rel_delay_s,doppler_hz,rx_time_offsets_s",oracle_ls_no_ai,,,,
